SERVICE,DESCRIERE,BENEFICII,PRET (MD),REDUCERE,PRET (UE)
Одностраничный сайт (лендинг-пейдж),"Компактная презентационная страница с индивидуальным дизайном, SEO-оптимизацией и чёткими призывами к действию.","Бысткий запуск онлайн
Высокая конверсия за счёт призывов к действию
Низкие затраты на разработку",5 500,3 500,8 500 
Простой сайт (3–5 страниц),"Корпоративный или презентационный сайт с многостраничной структурой (О нас, Услуги, Портфолио, Контакты).","Повышенный профессионализм и доверие
Интуитивно понятная навигация для посетителей
Лёгкое обновление через CMS (WordPress, Webflow и др.)",10 000,7 000,15 000
Сложный многоязычный сайт (более 5 страниц),"Веб-сайт с поддержкой минимум 2 языков (например, RO+EN), продвинутая структура, индивидуальные функции.","Расширение на международные рынки
Контент, адаптированный для каждого языка
Масштабируемость и долгосрочная SEO-оптимизация",20 000,15 000,30 000
Магазин Онлайн (Электронная коммерция),"Интегрированная онлайн-платформа продаж (товары, корзина, оплата, выставление счетов).","Продажи 24/7 с удобным управлением каталогом
Безопасные и оптимизированные платежи
Возможность интеграции с ERP/CRM",30 000,25 000,45 000
Создание профессионального логотипа,"От брифа и мудборда до финальных векторных вариантов (SVG, EPS, PNG)","Сильный визуальный идентификатор
Универсальность для всех видов медиа
Поставка исходного файла и руководства по использованию",3 500,2 000,5 000
Майка с персонализированным логотипом,Дизайн с персонализированным логотипом на груди и спине.,"Можно стирать в машине, дышащий, с короткими рукавами.",200,150,250
Фуражка с персонализированным логотипом,Кепка с персонализированным логотипом,"Премиальный полиэстер, регулируемый снэпбэк с персонализированным логотипом",120,80,150
Ручка с персонализированным логотипом,Набор шариковых ручек от 20 штук,"Идеально для офиса, ведения записей и проектов.",20,20,20
Визитная карточка с персонализированным дизайном,Визитная карточка с персонализированным дизайном с двух сторон — фото и индивидуальный текст.,"Элегантный дизайн, идеально подходящий для офиса, нетворкинга, свадеб, дней рождения и особых мероприятий.",1,0.5,1
Персонализированный ежедневник,"Персонализированный ежедневник формата A5 с гравированной ручкой. Минималистичный текстурированный ежедневник с чистыми страницами для заметок, ведения дневника и встреч.","Персонализированное имя, телефон, логотип — застёжка с ретро-пряжкой.",175,155,200
Обновление логотипа,"Лёгкий ребрендинг: модернизация, корректировка цветовой палитры, типография.","Сохраняет узнаваемость бренда
Экономия по сравнению с созданием с нуля
Адаптация к современным трендам",2 000,1 500,3 000
Простой чатбот (на основе правил),Чатбот с предустановленными сценариями для часто задаваемых вопросов и навигации по продуктам.,"Мгновенные ответы на распространённые вопросы
Сокращение объёма ручной работы
Быстрая интеграция на сайт",7 000,5 000,10 000
"Простой чатбот, интегрированный в Instagram",Чатбот с предустановленными сценариями для часто задаваемых вопросов и навигации по продуктам.,"Мгновенные ответы на частые вопросы
Снижение объёма ручной работы
Быстрая интеграция на сайт",7 000,5 000,10 000
"Простой чатбот, интегрированный в Messenger",Чатбот с предустановленными сценариями для часто задаваемых вопросов и навигации по продуктам.,"Мгновенные ответы на частые вопросы
Снижение объёма ручной работы
Быстрая интеграция на сайт",7 000,5 000,10 000
"Простой чатбот, интегрированный в Messenger, Instagram и Telegram",Чатбот с предустановленными сценариями для часто задаваемых вопросов и навигации по продуктам.,"Мгновенные ответы на частые вопросы
Снижение объёма ручной работы
Быстрая интеграция на сайт",10 000,8 000,12 000
Интеллектуальный чатбот с GPT и CRM,"Продвинутый чатбот на базе GPT-4, интегрированный напрямую с HubSpot (или другим CRM). Выполняет задачи: распознавание намерений, рекомендации продуктов, сбор данных, автоматическое создание и перемещение лидов, а также уведомление менеджера.","Естественные, адаптивные разговоры
Мгновенная синхронизация с CRM
Автоматические уведомления в Telegram/Slack для команды продаж
Повышение конверсии и качества лидов",18 000,10 000,25 000
Внедрение и настройка CRM,"Настройка HubSpot (или другого CRM), воронок продаж, пользовательских свойств, вебхуков и автоматизаций.","Эффективная организация лидов и контактов
Автоматизация маркетинга и продаж
Персонализированные панели для отчетов",10 000,5 000,15 000
Ежемесячное обслуживание,"Обновления безопасности, автоматическое резервное копирование, мониторинг времени безотказной работы, оптимизация производительности.","Высокопроизводительный и надёжный сайт круглосуточно
Приоритетная техническая поддержка
Ежемесячный отчёт о деятельности и рекомендации",2 000,1500,4 000
Пакет : Startup Light,Лендинг + Создание логотипа → 5 500 + 3 500 = 9 000 MDL,Скидка на пакет → 5 000 MDL,9 000,5000,9 000
Пакет : Business Smart,Простой сайт + Простой чатбот + Обновление логотипа → 10 000 + 7 000 + 2 000 = 19 000 MDL,Скидка на пакет → 10 000 MDL,19 000,10 000,19 000
Пакет : Enterprise Complete,"Многоязычный сайт + Онлайн-магазин + Интеллектуальный чатбот + CRM + 3 месяца обслуживания
20 000 + 30 000 + 18 000 + 10 000 + (1 200 × 3) = 50 000 MDL",Скидка на пакет → 20 000 MDL,50 000,20 000,50 000
